"номинальная зп, всего","номинальная зп, финансовая деятельность","номинальная зп, производство кокса и нефтепродуктов","номинальная зп, образование","реальная зп, всего","реальная зп, финансовая деятельность","реальная зп, производство кокса и нефтепродуктов","реальная зп, образование"
2223.4,5232.2,4916.3,1240.2,1849.75,4352.91,4090.1,1031.78
3240.4,8885.2,7012.4,1833.0,2273.44,6233.78,4919.84,1286.02
4360.3,13245.9,9625.3,2927.3,2658.74,8076.83,5869.13,1784.95
5498.5,15561.2,11879.0,3386.6,2993.81,8472.73,6467.86,1843.93
6739.5,17383.8,13729.3,4203.4,3283.97,8470.65,6689.91,2048.2
8554.9,22463.5,19397.1,5429.7,3758.51,9869.12,8521.93,2385.49
10633.9,27885.5,22319.6,6983.3,4286.15,11239.66,8996.24,2814.72
13593.4,34879.8,28565.0,8778.3,4897.66,12567.1,10291.89,3162.8
17290.1,41871.8,34912.5,11316.8,5499.27,13317.7,11104.24,3599.41
18637.5,42372.9,37963.7,13293.6,5448.37,12387.03,11098.07,3886.17
20952.2,50120.0,41563.4,14075.2,5630.66,13469.17,11169.68,3782.55
23369.2,55788.9,48462.6,15809.1,5919.13,14130.65,12274.99,4004.25
26628.9,58999.2,59195.0,18995.3,6328.37,14021.19,14067.72,4514.24
29792.0,63333.0,64760.1,23457.9,6651.09,14139.14,14457.74,5236.99
32495.0,68565.0,75517.0,25862.0,6514.49,13745.68,15139.39,5184.73
34030.0,70088.0,81605.0,26928.0,6042.18,12444.43,14489.32,4781.18
36709.0,80289.0,88194.0,28088.0,6185.09,13527.86,14859.77,4732.54
39167.0,84904.0,95956.7,30257.6,6437.02,13953.81,15770.3,4972.78
43724.0,91070.0,87591.0,34361.0,6891.68,14354.25,13805.9,5415.9
47866.8,103667.8,81685.2,37071.9,7321.36,15856.27,12493.97,5670.25
51344.0,112680.0,82106.0,39563.0,7485.66,16428.09,11970.58,5768.06
57243.7,130223.3,87214.4,43390.5,7699.79,17516.2,11731.12,5836.41
65338.3,146637.1,97720.3,48400.2,7852.56,17623.3,11744.33,5816.89
74854.0,170600.2,109466.8,54314.8,8374.78,19087.01,12247.31,6076.82
87951.5,206318.4,128863.7,62912.9,8985.61,21078.63,13165.43,6427.53
