Инфляция,Накопленный_индекс
9.51,9.788035030726556
7.42,8.938028518607029
11.92,8.32063723571684
8.39,7.4344507109692985
4.91,6.858982111790108
3.05,6.537967888466408
4.27,6.344461803460852
2.52,6.084647361140168
5.38,5.935083262914718
12.91,5.632077493750918
11.36,4.988112207732635
6.45,4.479267427920829
6.58,4.207860430174569
6.1,3.9480769658233896
8.78,3.7210904484669083
8.8,3.420748711589362
13.28,3.144070506975516
11.87,2.7754859701408154
9.0,2.48099219642515
10.91,2.276139629747844
11.74,2.0522402215741087
11.99,1.8366209249813037
15.06,1.63998653896
18.58,1.4253315999999998
20.2,1.202
